"ID","Type","Category","Amount","Date","Note","PaymentMethod","IsRecurring","RecurringInterval"
"c545f520-9ce5-43b9-8507-2a0d12950919","Expense","Groceries",34.68,"2026-08-24 13:23:09","Restaurant","Card",false,"One-time"
"c4034cb1-cfb9-442e-bb77-4defbe24cf90","Expense","Food",13.36,"2026-08-24 04:02:08","Snacks","Bank Transfer",false,"One-time"
"21479176-dbaf-4462-b3cd-2acb6f1ae27b","Expense","Food",22.05,"2026-08-23 23:33:16","Snacks","Bank Transfer",false,"One-time"
"d4826df2-5f25-4cf8-b79f-5bcb5ed1149c","Expense","Transport",2.11,"2026-08-22 19:12:04","Metro ride","Cash",false,"One-time"
"d305ed11-e781-45f0-a5f0-0243ccc7d47d","Expense","Transport",4.46,"2026-08-22 09:39:52","Auto ride","Cash",false,"One-time"
"779ad0dd-d10f-44aa-93d0-49ada7053d70","Expense","Transport",2.37,"2026-08-21 17:07:01","Bus ride","Card",false,"One-time"
"6205c155-9ac5-442e-9be0-82a0e3364e3d","Expense","Transport",9.02,"2026-08-21 09:01:19","Metro ride","Card",false,"One-time"
"7d61b390-f055-4438-8157-7c5f2aec4cee","Expense","Food",5.03,"2026-08-21 07:52:13","Snacks","Bank Transfer",false,"One-time"
"e3835c87-f171-4061-9585-9db9355c975e","Expense","Groceries",76.28,"2026-08-21 06:12:45","Mess meal","Bank Transfer",false,"One-time"
"b14fa1b1-e343-48ee-a6ce-b63d6ad2ee37","Expense","Food",19.44,"2026-08-20 11:20:05","Groceries","Bank Transfer",false,"One-time"
"a16fddc7-0568-4a8d-8c38-1fb20c7a1b0f","Expense","Groceries",79.48,"2026-08-20 10:19:46","Restaurant","Bank Transfer",false,"One-time"
"089f4d60-4b24-46bf-900d-6ec0d7aa1718","Expense","Transport",2.44,"2026-08-20 03:24:24","Bus ride","Cash",false,"One-time"
"5d26f197-ec6c-4bfa-92e0-1e53ffbbd067","Expense","Food",22.58,"2026-08-19 06:37:44","Groceries","Bank Transfer",false,"One-time"
"7f0a1c40-7a90-4e05-9fa2-568d0d98568f","Expense","Transport",7.68,"2026-08-15 20:25:06","Metro ride","Cash",false,"One-time"
"923bb071-1d10-4086-a507-2a368b280974","Expense","Food",8.34,"2026-08-14 16:59:32","Snacks","Bank Transfer",false,"One-time"
"30cea08b-2e3c-4935-85ed-63de2947039b","Expense","Food",23.22,"2026-08-12 11:28:40","Mess meal","Card",false,"One-time"
"30a485c0-66a8-4e3d-bf5f-53175fb5930b","Expense","Transport",3.01,"2026-08-12 02:57:02","Metro ride","Bank Transfer",false,"One-time"
"fed447dd-b948-47d5-8f15-82e6547eddc0","Expense","Transport",18.76,"2026-08-11 19:11:43","Taxi ride","Bank Transfer",false,"One-time"
"878acee2-237c-49c9-a0d1-0eeb24b5bc86","Expense","Transport",6.12,"2026-08-11 15:09:15","Bus ride","Card",false,"One-time"
"c9f17be6-c9dd-44a3-a622-ab7dab80b381","Expense","Utilities",92.4,"2026-08-11 10:23:47","Electricity, water, internet","Bank Transfer",true,"Monthly"
"5659deee-d25a-41ad-8f4c-ea66644c13e3","Expense","Food",21.48,"2026-08-10 10:03:40","Restaurant","Bank Transfer",false,"One-time"
"9f599f84-3220-4bb7-bbf7-97d8c88a7041","Expense","Food",21.34,"2026-08-09 20:40:38","Restaurant","Card",false,"One-time"
"eedef924-28d0-40d6-ac2e-5003490100e6","Expense","Food",5.91,"2026-08-09 17:07:10","Restaurant","Card",false,"One-time"
"b70da8c4-6742-4000-94b4-db165a12bed6","Expense","Transport",8.39,"2026-08-09 15:42:23","Auto ride","Bank Transfer",false,"One-time"
"b0a38e94-9d96-40df-ac92-22c24598abab","Expense","Groceries",37.78,"2026-08-09 06:37:40","Restaurant","Bank Transfer",false,"One-time"
"6e101e33-5f4b-4bb8-ac68-11ef43bf9f81","Expense","Food",19.45,"2026-08-09 05:16:01","Groceries","Bank Transfer",false,"One-time"
"5fe5c16d-3c5b-4e85-a9df-9f114bbe450e","Expense","Transport",8.24,"2026-08-09 04:40:38","Bus ride","Cash",false,"One-time"
"14e1382b-afa2-4171-b7de-ea8eff1d2660","Expense","Transport",5.68,"2026-08-08 21:24:43","Bus ride","Cash",false,"One-time"
"9d3c9a42-ed4f-4e9e-88fb-c95914d5d236","Expense","Transport",6.73,"2026-08-08 03:18:22","Bus ride","Cash",false,"One-time"
"e5b938d3-5e51-4836-b8f1-6125fb0e0483","Income","Part-time",454.88,"2026-08-07 18:24:05","Freelance project","Card",false,"One-time"
